bar_code,Family,Genus,species,X,Y,value,variable_id
P770995,Lecythidaceae,Eschweilera,coriacea,29,30,1.9935219118757954,3
P770995,Lecythidaceae,Eschweilera,coriacea,29,30,71.14445830221203,9
P770995,Lecythidaceae,Eschweilera,coriacea,29,30,83.19809557246047,10
P770995,Lecythidaceae,Eschweilera,coriacea,29,30,6.950526101388939,11
P868588,Lecythidaceae,Eschweilera,coriacea,36,96,22.662546327155127,1
P868588,Lecythidaceae,Eschweilera,coriacea,36,96,188.16786155091387,2
P868588,Lecythidaceae,Eschweilera,coriacea,36,96,1.5056972578425674,3
P868588,Lecythidaceae,Eschweilera,coriacea,36,96,94.7224625075381,9
P868588,Lecythidaceae,Eschweilera,coriacea,36,96,56.7601514677643,10
P868588,Lecythidaceae,Eschweilera,coriacea,36,96,12.519722066248711,11
P954107,Lecythidaceae,Eschweilera,coriacea,8,20,23.850752749189986,1
P954107,Lecythidaceae,Eschweilera,coriacea,8,20,216.83964043097177,2
P954107,Lecythidaceae,Eschweilera,coriacea,8,20,1.5541430123430935,3
P954107,Lecythidaceae,Eschweilera,coriacea,8,20,63.27031642547515,9
P954107,Lecythidaceae,Eschweilera,coriacea,8,20,128.0805330472087,10
P954107,Lecythidaceae,Eschweilera,coriacea,8,20,9.778843460677557,11
P906072,Lecythidaceae,Eschweilera,coriacea,62,79,28.471604182644228,1
P906072,Lecythidaceae,Eschweilera,coriacea,62,79,188.17416395080625,2
P906072,Lecythidaceae,Eschweilera,coriacea,62,79,1.485389533331625,3
P906072,Lecythidaceae,Eschweilera,coriacea,62,79,63.31421054383799,9
P906072,Lecythidaceae,Eschweilera,coriacea,62,79,73.89859741114188,10
P906072,Lecythidaceae,Eschweilera,coriacea,62,79,9.90664749417693,11
P931639,Lecythidaceae,Eschweilera,coriacea,25,29,33.10414860780592,1
P931639,Lecythidaceae,Eschweilera,coriacea,25,29,207.06883307415043,2
P931639,Lecythidaceae,Eschweilera,coriacea,25,29,1.652281984842267,3
P931639,Lecythidaceae,Eschweilera,coriacea,25,29,88.04390617708458,9
P931639,Lecythidaceae,Eschweilera,coriacea,25,29,63.21113459683121,10
P931639,Lecythidaceae,Eschweilera,coriacea,25,29,9.255385055517129,11
P399195,Lecythidaceae,Eschweilera,coriacea,84,38,10.845826958724473,1
P399195,Lecythidaceae,Eschweilera,coriacea,84,38,245.45310913675058,2
P399195,Lecythidaceae,Eschweilera,coriacea,84,38,2.0342239507741873,3
P399195,Lecythidaceae,Eschweilera,coriacea,84,38,91.3847806800489,9
P399195,Lecythidaceae,Eschweilera,coriacea,84,38,59.318898185958226,10
P399195,Lecythidaceae,Eschweilera,coriacea,84,38,10.70941424621577,11
P891601,Lecythidaceae,Eschweilera,coriacea,74,92,31.835220626914655,1
P891601,Lecythidaceae,Eschweilera,coriacea,74,92,221.34751904143369,2
P891601,Lecythidaceae,Eschweilera,coriacea,74,92,1.7599828780144195,3
